행정구역,2023년10월_계_총인구수,2023년10월_계_연령구간인구수,2023년10월_계_0~9세,2023년10월_계_10~19세,2023년10월_계_20~29세,2023년10월_계_30~39세,2023년10월_계_40~49세,2023년10월_계_50~59세,2023년10월_계_60~69세,2023년10월_계_70~79세,2023년10월_계_80~89세,2023년10월_계_90~99세,2023년10월_계_100세 이상
서울특별시 노원구 월계3동(1135058000),28762,28762,1736,1913,3174,4249,4179,4539,4657,2798,1340,172,5
서울특별시 노원구 공릉1동(1135059500),36041,36041,1507,2478,6632,4929,4980,5413,5582,3051,1276,189,4
서울특별시 노원구 공릉2동(1135060000),41668,41668,2947,4214,6926,5484,6656,6358,5239,2555,1136,151,2
서울특별시 노원구 하계1동(1135061100),26295,26295,875,2965,4592,2629,3382,4796,3899,1921,1075,158,3
서울특별시 노원구 하계2동(1135061200),21339,21339,1215,2500,2601,2450,3503,3811,2926,1430,777,126,0
서울특별시 노원구 중계본동(1135061900),23079,23079,1136,4210,2901,1667,4290,4631,2536,1016,604,87,1
서울특별시 노원구 중계1동(1135062100),26357,26357,1642,5267,2828,1848,5732,4898,2472,1015,570,83,2
서울특별시 노원구 중계4동(1135062400),19167,19167,876,1944,2306,1795,2897,3594,2777,1904,935,136,3
서울특별시 노원구 중계2.3동(1135062500),32588,32588,1533,2702,3688,3842,4830,5556,5005,3333,1830,259,10
서울특별시 노원구 상계1동(1135063000),37003,37003,1821,2955,4583,4439,5092,6708,6462,3208,1518,207,10
서울특별시 노원구 상계2동(1135064000),19174,19174,706,1595,2941,2114,2547,3758,3167,1504,739,96,7
서울특별시 노원구 상계3.4동(1135066500),27462,27462,1518,2083,3094,2927,3907,4893,4677,2734,1473,147,9
서울특별시 노원구 상계5동(1135067000),23072,23072,841,1729,2918,2586,3029,4356,3949,2306,1186,165,7
서울특별시 노원구 상계6.7동(1135069500),31477,31477,1916,2666,4052,4653,4853,5515,4352,2137,1111,217,5
서울특별시 노원구 상계8동(1135070000),21902,21902,1919,1753,2372,4738,3622,3088,2399,1275,630,103,3
서울특별시 노원구 상계9동(1135071000),19683,19683,1058,1736,2384,2669,2996,3515,2924,1507,753,139,2
서울특별시 노원구 상계10동(1135072000),18275,18275,1202,1517,2304,2865,2796,3194,2597,1141,563,93,3
서울특별시 은평구 (1138000000),467124,467124,24571,35652,62094,66318,70649,77465,68783,39692,19639,2202,59
서울특별시 은평구 녹번동(1138051000),36151,36151,2126,2096,4533,5684,5416,5778,5426,3261,1626,201,4
서울특별시 은평구 불광제1동(1138052000),37536,37536,1861,2386,4716,5241,5337,6431,5995,3444,1902,219,4
서울특별시 은평구 불광제2동(1138053000),26781,26781,799,1469,3843,3786,3387,4624,4607,2762,1365,135,4
서울특별시 은평구 갈현제1동(1138055100),14595,14595,491,955,2126,2051,1997,2516,2374,1377,623,83,2
서울특별시 은평구 갈현제2동(1138055200),27543,27543,1131,2196,3918,3611,4118,4860,4068,2410,1127,104,0
서울특별시 은평구 구산동(1138056000),31525,31525,1360,2510,4264,3805,4559,5635,5073,2826,1352,137,4
서울특별시 은평구 대조동(1138057000),27332,27332,916,1454,5112,4808,3581,4106,3677,2354,1215,104,5
서울특별시 은평구 응암제1동(1138058000),32677,32677,2266,2638,4222,5244,5480,5022,4083,2410,1187,121,4
서울특별시 은평구 응암제2동(1138059000),27366,27366,2756,2580,2463,4218,5581,3901,3114,1795,850,104,4
서울특별시 은평구 응암제3동(1138060000),23513,23513,759,1270,3325,3253,3062,3857,3903,2492,1426,162,4
서울특별시 은평구 역촌동(1138062500),43933,43933,1880,3071,5910,5997,6727,7548,6725,3984,1897,189,5
서울특별시 은평구 신사제1동(1138063100),26524,26524,1239,1792,3604,3813,3900,4399,4216,2351,1089,119,2
서울특별시 은평구 신사제2동(1138063200),18977,18977,846,1366,2490,2587,2734,3191,3182,1681,791,104,5
서울특별시 은평구 증산동(1138064000),18343,18343,1078,1359,2382,2637,2588,3078,2854,1545,741,77,4
서울특별시 은평구 수색동(1138065000),19945,19945,1713,1405,2502,3461,2906,3478,2576,1206,613,84,1
서울특별시 은평구 진관동(1138069000),54383,54383,3350,7105,6684,6122,9276,9041,6910,3794,1835,259,7
서울특별시 서대문구 (1141000000),306927,306927,17772,22260,48840,44841,44506,48734,41350,23662,13220,1684,58
서울특별시 서대문구 천연동(1141052000),16620,16620,1036,1267,1970,2281,2408,2912,2425,1340,865,114,2
서울특별시 서대문구 북아현동(1141055500),15451,15451,1310,974,1922,2780,2531,2484,1899,962,522,66,1
서울특별시 서대문구 충현동(1141056500),19678,19678,1051,1257,3001,3354,2806,3152,2749,1397,772,132,7
서울특별시 서대문구 신촌동(1141058500),20359,20359,476,916,8608,3656,1860,1889,1413,886,573,79,3
서울특별시 서대문구 연희동(1141061500),34107,34107,1318,2050,7659,5390,4430,4917,4096,2536,1475,227,9
서울특별시 서대문구 홍제제1동(1141062000),24758,24758,1473,1783,3117,3584,3622,4206,3661,2044,1142,123,3
서울특별시 서대문구 홍제제3동(1141064000),17730,17730,1009,1114,2235,2438,2356,3075,2729,1655,1010,106,3
서울특별시 서대문구 홍제제2동(1141065500),13198,13198,664,877,1558,1870,1710,2398,2203,1186,650,78,4
서울특별시 서대문구 홍은제1동(1141066000),22216,22216,1270,1522,2664,2964,3164,3912,3530,1940,1108,137,5
서울특별시 서대문구 홍은제2동(1141068500),28613,28613,1499,2202,4204,3971,4087,4796,4174,2245,1262,168,5
서울특별시 서대문구 남가좌제1동(1141069000),16702,16702,1973,1840,1578,2245,3403,2374,1744,954,519,71,1
서울특별시 서대문구 남가좌제2동(1141070000),29160,29160,2344,2386,4119,4099,4743,4446,3500,2224,1153,139,7
서울특별시 서대문구 북가좌제1동(1141071000),17596,17596,1157,1911,1886,2105,2998,3009,2362,1373,711,80,4
서울특별시 서대문구 북가좌제2동(1141072000),30739,30739,1192,2161,4319,4104,4388,5164,4865,2920,1458,164,4
서울특별시 마포구 (1144000000),363953,363953,20790,26654,59150,63654,57151,55702,42423,23651,12972,1755,51
서울특별시 마포구 아현동(1144055500),28526,28526,2905,2008,3237,5689,4975,4182,3222,1385,809,110,4
서울특별시 마포구 공덕동(1144056500),36584,36584,1917,2120,5790,6516,5029,6142,4939,2521,1431,175,4
서울특별시 마포구 도화동(1144058500),20615,20615,1319,1416,2613,3527,2884,3296,2950,1525,931,150,4
서울특별시 마포구 용강동(1144059000),21262,21262,1883,2161,2024,3406,4274,3152,2280,1242,711,127,2
서울특별시 마포구 대흥동(1144060000),14489,14489,574,868,3643,2515,1948,2066,1500,801,502,68,4
서울특별시 마포구 염리동(1144061000),16834,16834,1271,1700,2440,2682,3095,2552,1649,870,519,56,0
서울특별시 마포구 신수동(1144063000),22129,22129,1499,1783,3304,3358,3539,3712,2623,1419,793,94,5
서울특별시 마포구 서강동(1144065500),24553,24553,1586,1682,4727,4065,3787,3693,2709,1405,789,108,2
서울특별시 마포구 서교동(1144066000),24091,24091,657,1001,5983,5341,3414,3099,2208,1459,794,134,1
서울특별시 마포구 합정동(1144068000),16392,16392,664,719,3027,3575,2456,2216,1922,1123,596,92,2
서울특별시 마포구 망원제1동(1144069000),19157,19157,776,1081,3071,3622,2949,2874,2413,1527,755,89,0
서울특별시 마포구 망원제2동(1144070000),17994,17994,840,1403,2568,2845,2895,2911,2297,1433,725,74,3
서울특별시 마포구 연남동(1144071000),14284,14284,465,688,2920,2911,2133,1925,1636,959,565,78,4
서울특별시 마포구 성산제1동(1144072000),18575,18575,716,1278,3022,3270,2985,2930,2298,1325,691,57,3
서울특별시 마포구 성산제2동(1144073000),38772,38772,1845,2978,6556,6801,5642,5957,4515,2820,1436,212,10
서울특별시 마포구 상암동(1144074000),29696,29696,1873,3768,4225,3531,5146,4995,3262,1837,925,131,3
서울특별시 양천구 (1147000000),437199,437199,25607,47850,52943,53373,72848,74762,62819,32176,12826,1929,66
서울특별시 양천구 목1동(1147051000),30278,30278,2400,5090,2990,2771,6461,5097,3250,1538,593,84,4
